"","PLACEFIPS","VictimsPreGF2020"
"354","4841464",1
"355","4841980",1
"356","4845000",2
"357","4847628",1
"358","4848804",1
"359","4855080",1
"360","4861436",1
"361","4863572",1
"362","4864472",1
"363","4865000",5
"364","4867496",1
"365","4940360",1
"366","4950150",1
"367","4967000",1
"368","4975360",1
"369","5110744",1
"370","5114984",1
"371","5116000",1
"372","5121648",1
"373","5152952",1
"374","5172272",1
"375","5182000",2
"376","5310455",1
"377","5335275",1
"378","5336920",1
"379","5338038",1
"380","5353335",1
"381","5353545",1
"382","5357745",1
"383","5358725",1
"384","5358795",1
"385","5363000",2
"386","5366185",1
"387","5370280",1
"388","5372170",1
"389","5373255",1
"390","5374060",1
"391","5459836",1
"392","5531000",1
"393","5550825",1
"394","5553000",3
"395","5578725",1
"396","5584250",1
"397","5584475",1
"398","5584675",1
"399","5666220",1
"400","5686737",1
